location,lastName,firstName,phone,date,urgent,saline_bags,iv_supplies,tape,gauze, bandages_2x2,bandages_4x4,bandages_6x9,benznidazole,aspirin,gluscose,albuterol,Fexinidazole,rifampicin,ASMQ,NECT
Malaysia,Burke,Nate,555-555-5555,,false,2,,1,1,,,4,3,,,,,,,1
Malaysia,Ebrahimi,Kiran,555-555-5555,,false,2,1,2,0,2,0,1,2,3,2,3,0,1,2,10
Malaysia,Loginsky,Daniel,555-555-5555,,false,1,,,,,,1,,,,,,,,
Malaysia,Sprat,Jack,555-555-5555,,false,2,4,,,,,1,2,1,5,,,1,1,1
Malaysia,Dmitri,Kali,555-555-5555,,false,6,4,1,1,,3,1,1,11,,8,5,2,3,7
Malaysia,Tolkein,Quin,555-555-5555,,false,,,,,,,,,,12,,,,,
Sudan,Grouper,Myles,555-555-5555,,false,,,,1,,,1,,,3,1,,1,,
Malaysia,Harlan,Jimmy,555-555-5555,,false,,3,,1,,,,1,1,1,,1,2,,8
Sudan,Lee,Andy,555-555-5555,,false,,,,1,,,,,,,1,,,,
Malaysia,Linton,Kaden,555-555-5555,,false,,1,1,,1,,,,1,,,,,,1
Venezuela,Gatsby,Mac,555-555-5555,,false,,,,,1,,,,1,,,,,,
