Year,Coach,Last Name,First Name,Phone,Apple,Apple Crumb,Blueberry,Cherry,Strawberry Rhubarb,Summer Berry,Pumpkin,Total pies,Pecan,Black Bottom Pecan,Chicken Pot Pie,total expensive pies,Banana,Cran-Orange Pecan,Lemon Blueberry,Sour Cream Cinnam Bread,total breads,Lemon Pound Cake $12,lemon cake,Total Items Ordered,Money owed for  PIES and pastries,Apple Cinnamon,Cherry Chocolate,Cranberry Nut,Honey Maple,Nutty,Vanilla Almond,total large granola,sm Cranberry Nut,sm Honey Maple,sm Nutty,sm Vanilla Almond,Total Granola Ordered,Money owed for GRANOLA,TOTAL MONEY RECEIVED BY ROWER,
2019,JVG,Mouser,Zoe,555-555-5555,3,3,0,0,1,2,3,12,2,1,0,3,2,0,1,1,4,1,,20,$367.00,,,,,1,1,2,,,,,0,$20.00,$387.00,0
2019,JVG,Savonarna,Juliette,555-555-5555,5,,,,1,,3,9,1,,3,4,,,,1,1,,,14,$290.00,1,,,,,,1,,,,,0,$10.00,$300.00,0
2019,HPG,Adams,Keegan,555-555-5555,,1,1,,1,1,1,5,2,,2,4,1,2,1,1,5,,,14,$250.00,,2,,2,,2,6,,1,,,1,$80.00,$430.00,0
2019,JVB,Dominant,Alexander,555-555-5555,2,4,3,,,,5,14,,1,3,4,1,,,,1,1,,20,$402.00,,,,,,,0,,,,,0,$ -,$432.00,0
2019,JVB,Hunting,Owen,555-555-5555,,2,,,,,2,4,,,,0,1,,,1,2,1,,7,$112.00,,,,,,,0,,,,,0,$ -,$130.00,0
2019,JVB,Strong,Thaddeus,555-555-5555,,6,3,,,1,,10,,,,0,,,,1,1,,,11,$210.00,4,,,,,,4,,,,,0,$40.00,$300.00,0
2019,JVB,Tosser,Andre,555-555-5555,,,,,,,,0,,,,0,,,,,0,,,0,$ -,,3,,1,,6,10,,,,,0,$100.00,$100.00,0
2019,JVB,Pointer,William,555-555-5555,2,,2,,,,7,11,4,,,4,,,,,0,,,15,$320.00,,,,,,,0,,,,,0,$ -,$320.00,0
2019,JVB,Johnson,Hari,555-555-5555,3,3,,,,3,,9,,,,0,,,,,0,,,9,$180.00,,,3,3,3,3,12,,,1,1,2,$160.00,$340.00,0
2019,JVB,Caldin,Michael,555-555-5555,,1,,,,,,1,,1,,1,1,,,,1,1,,4,$67.00,,,,,2,2,4,,,,,0,$40.00,$97.00,10
2019,JVB,Tatum,Tim,555-555-5555,,2,,,,,3,5,,,5,5,,,2,,2,,,12,$245.00,1,2,,1,,1,5,,,,,0,$50.00,$295.00,0
2019,JVB,Ari,Dylan,555-555-5555,4,2,,,,,,6,,,2,2,5,2,,2,9,,,17,$260.00,,,2,,,2,4,,,,,0,$40.00,$300.00,0
2019,JVB,Foster,Pace,555-555-5555,1,,,,1,1,1,4,1,,1,2,,,,,0,,,6,$130.00,,,,,1,1,2,,,,,0,$20.00,$150.00,0
2019,JVB,Keeger,Daniel,555-555-5555,,2,,,,,2,4,2,2,,4,,,,,0,,,8,$180.00,,,,,,,0,,,,,0,$ -,$180.00,0
2019,JVB,Lyons,Julian,555-555-5555,1,,1,1,,,1,4,,,1,1,,1,1,,2,,,7,$125.00,,,,,,,0,,,,,0,$ -,$125.00,0
2019,JVB,Manny,Maximilian,555-555-5555,3,2,,1,,,,6,,,1,1,1,1,2,5,9,,,16,$235.00,2,,,,2,2,6,,,,,0,$60.00,$300.00,0
2019,JVB,McDonald,Cort,555-555-5555,3,3,2,2,,,,10,,,1,1,1,,,,1,3,,15,$271.00,2,2,,3,,1,8,,,,,0,$80.00,$351.00,0
2019,JVB,Market,Maximilian,555-555-5555,1,3,,,1,,,5,,3,1,4,2,1,,2,5,2,,16,$274.00,,,,1,,1,2,,,,,0,$20.00,$294.00,0
2019,JVB,Campion,Adam,555-555-5555,2,2,1,,1,,1,7,2,2,2,6,1,2,2,1,6,1,,20,$362.00,,,,,,,0,,,,,0,$ -,$362.00,0
2019,JVB,Belkechi,Luke,555-555-5555,,1,,1,,,1,3,1,,3,4,,,,1,1,1,,9,$182.00,,,,,,,0,,,,,0,$ -,$187.00,0
2019,JVB,Sully,Brendan,555-555-5555,,,,,,,,0,,,4,4,5,4,5,5,19,4,,27,$338.00,,4,,,,4,8,,,,,0,$80.00,$418.00,0
2019,JVB,Song,Justin,555-555-5555,1,1,1,2,,3,1,9,1,1,,2,,,,,0,,,11,$230.00,1,3,2,,1,,7,,,,,0,$70.00,$300.00,0
2019,JVB,Tsu,Lucas,555-555-5555,4,,,,1,,,5,,,,0,,,,,0,,,5,$100.00,,,5,5,5,,15,,,,,0,$150.00,$300.00,0
2019,JVB,Venturi,Josh,555-555-5555,,,,,,,,0,,,,0,,,,,0,,,0,$ -,,,,,,,0,,,,,0,$ -,$150.00,0
2019,JVB,Vigo,Peter,555-555-5555,,1,,,,1,1,3,,1,,1,,,1,,1,,,5,$95.00,,1,,,,1,2,,,,,0,$20.00,$115.00,0
2019,JVB,Simeone,Ashlyn,555-555-5555,,,1,,,,,1,,,,0,2,1,,1,4,3,,8,$96.00,,1,,,1,1,3,,,,,0,$30.00,$126.00,0
2019,HPB,Venturi,Colin,555-555-5555,1,,1,1,,,1,4,,1,,1,,,,,0,,,5,$105.00,,,,,,,0,,,,,0,$ -,$150.00,0
2019,HPB,Thoms,Luke,555-555-5555,6,12,3,1,5,2,9,38,4,5,12,21,4,4,4,4,16,5,,80,"$1,505.00",3,5,,3,5,2,18,,1,1,,2,$220.00,"$2,003.00",0
2019,HPB,Whittaker,Blake / Casey,555-555-5555,3,12,2,1,1,1,7,27,1,11,2,14,1,1,2,4,8,3,,52,"$1,006.00",,3,2,1,1,2,9,,,,,0,$90.00,$ -,1141
2019,HPB,Benny,Henry,555-555-5555,1,2,1,1,,,3,8,,,5,5,1,,,,1,1,,15,$307.00,,,,,2,4,6,,,,,0,$60.00,$367.50,0
2019,HPG,Jones,Chloe,555-555-5555,3,3,,,,3,1,10,,,,0,1,,1,2,4,,,14,$240.00,1,1,,1,,,3,,,,,0,$30.00,$270.00,0
2019,HPG,Darien,Sophie,555-555-5555,2,,,,1,,2,5,,,5,5,3,2,,,5,1,,16,$287.00,,,,,,,0,,,,,0,$ -,$257.00,30
2019,HPB,Typping,Will,555-555-5555,2,3,,1,,2,,8,1,,1,2,,,,,0,7,,17,$294.00,,,,,,,0,,,,,0,$ -,$294.00,0
2019,HPB,Talamadge,Christopher,555-555-5555,,1,,,,,,1,,1,,1,1,,1,2,4,6,,12,$157.00,,5,,1,,6,12,,,,,0,$120.00,$277.00,0
2019,HPB,Dessi,George,555-555-5555,1,,,,,,,1,,,3,3,,,,,0,,,4,$95.00,2,,,1,,,3,,2,,,2,$70.00,$125.00,40
2019,HPB,Holmes,Ian,555-555-5555,,4,,,,,1,5,1,,,1,,,,,0,1,,7,$137.00,,,,,,,0,1,1,,,2,$40.00,$192.00,0
2019,HPB,Sayers,Ben,555-555-5555,4,1,,,,,,5,,,,0,,1,2,,3,,,8,$130.00,,,,3,3,,6,,,,,0,$60.00,$190.00,0
2019,HPB,Swift,Ethan,555-555-5555,,1,,,,,1,2,,7,1,8,,2,1,,3,2,,15,$294.00,,1,1,,,,2,1,,,,1,$40.00,$309.00,25
2019,HPB,Escado,Gonzalo,555-555-5555,3,1,2,,,,,6,2,0,2,4,4,,,,4,,,14,$260.00,,,,,,2,2,,,,1,1,$40.00,$300.00,0
2019,HPB,Moss,Eric,555-555-5555,,3,,,,,,3,1,2,3,6,,1,,,1,5,,15,$280.00,,,,,1,,1,,,,,0,$10.00,$320.00,0
2019,HPB,Gibbons,Max,555-555-5555,,2,,,,,,2,1,2,,3,,,,,0,2,,7,$139.00,,4,,,,,4,,,,,0,$40.00,$179.00,0
2019,HPB/HPG,Milken,Erick/Claudia,555-555-5555,3,,2,1,2,3,,11,,,,0,,,,,0,,,11,$220.00,2,3,3,,,,8,,,,,0,$80.00,$500.00,0
2019,HPB,Hung,Charles,555-555-5555,3,4,2,,2,,2,13,,,1,1,1,,1,,2,,,16,$305.00,,2,,3,,5,10,,,1,,1,$120.00,$425.00,0
2019,HPB,Goody,Eric,555-555-5555,,,1,,,,1,2,,1,1,2,1,,1,1,3,5,,12,$180.00,,6,,2,,1,9,,1,1,1,3,$150.00,$330.00,0
2019,HPB,Baker,Dukes,555-555-5555,,2,,2,,2,2,8,1,1,,2,2,,,,2,2,,14,$254.00,,,,,,,0,,,,,0,$ -,$254.00,0
2019,HPB,Aronstein,Michael,555-555-5555,1,1,1,,,,,3,,,4,4,1,1,3,1,6,2,,15,$244.00,6,,,,,1,7,,,,,0,$70.00,$314.00,0
2019,HPB,Crenshaw,James,555-555-5555,1,1,,,,,1,3,2,,,2,1,,,1,2,2,,9,$154.00,1,,,4,8,1,14,,,,,0,$140.00,$294.00,0
2019,HPB,Ivy,Ian,555-555-5555,1,,1,,,,1,3,,,,0,,,,,0,,,3,$60.00,,,,,,,0,,,,,0,$ -,$300.00,0
2019,HPB,Ford,Lachlan,555-555-5555,,,1,,,,,1,1,,,1,,,,1,1,1,,4,$67.00,5,,3,5,,5,18,,,,,0,$180.00,$307.00,0
2019,HPB,McDougall,Joe,555-555-5555,1,5,1,,2,1,4,14,4,4,2,10,2,,2,2,6,3,,33,$626.00,,,,1,,1,2,,,,,0,$20.00,$676.00,0
2019,HPB,Thomas,Dylan,555-555-5555,,,1,1,,,,2,,2,8,10,,,1,,1,,,13,$300.00,,,,,,,0,,,,,0,$ -,$300.00,0
2019,HPB,Trusome,George,555-555-5555,1,2,1,0,2,0,2,8,1,6,3,10,1,1,1,1,4,1,,23,$462.00,,,,,1,,1,,,,,0,$10.00,$492.00,0
2019,HPB,Smyth,Max,555-555-5555,2,1,,,,,2,5,,4,1,5,1,,2,1,4,1,,15,$277.00,3,3,,1,2,2,11,,1,,1,2,$150.00,$527.00,0
2019,HPB,Simoneau,Andrew,555-555-5555,8,,,,,,,8,,,,0,1,,,1,2,,,10,$180.00,,,,,,,0,,,2,,2,$40.00,$320.00,0
2019,HPB,Griffin,Matthew,555-555-5555,3,1,,,1,,2,7,,,,0,1,,,,1,,,8,$150.00,,,,5,,,5,,5,,,5,$150.00,$300.00,0
2019,HPB,Herbert,Josh,555-555-5555,,,,,,,2,2,,,,0,,,,,0,,,2,$40.00,,,1,1,1,1,4,,,1,,1,$60.00,$100.00,0
2019,HPB,Burke,Nate,555-555-5555,2,,1,1,,,4,8,3,,,3,,,,,0,1,,12,$247.00,,,2,1,,1,4,,2,1,2,5,$140.00,$387.00,0
2019,HPB,Ebrahimi,Kiran,555-555-5555,2,1,2,0,2,0,1,8,2,3,2,7,3,0,1,2,6,10,,31,$515.00,,,,,,,0,,,,,0,$ -,$515.00,0
2019,HPB,Loginsky,Daniel,555-555-5555,1,,,,,,1,2,,,,0,,,,,0,,,2,$40.00,,,,,,,0,,,,,0,$ -,$40.00,0
2019,HPB,Sprat,Jack,555-555-5555,2,4,,,,,1,7,2,1,5,8,,,1,1,2,1,,18,$372.00,,2,4,5,2,,13,,,,,0,$130.00,$502.00,0
2019,HPB,Dmitri,Kali,555-555-5555,6,4,1,1,,3,1,16,1,11,,12,8,5,2,3,18,7,,53,$884.00,,,,,1,1,2,,,,,0,$20.00,$927.00,0
2019,HPB,Tolkein,Quin,555-555-5555,,,,,,,,0,,,12,12,,,,,0,,,12,$300.00,,,,,,,0,,,,,0,$ -,$300.00,0
2019,JVB,Grouper,Myles,555-555-5555,,,,1,,,1,2,,,3,3,1,,1,,2,,,7,$135.00,,,,,,,0,,,,,0,$ -,$135.00,0
2019,HPB,Harlan,Jimmy,555-555-5555,,3,,1,,,,4,1,1,1,3,,1,2,,3,8,,18,$281.00,,1,,,,,1,,,,,0,$10.00,$308.00,0
2019,JVB,Lee,Andy,555-555-5555,,,,1,,,,1,,,,0,1,,,,1,,,2,$30.00,8,,,,,,8,,,,,0,$80.00,$300.00,0
2019,HPB,Linton,Kaden,555-555-5555,,1,1,,1,,,3,,1,,1,,,,,0,1,,5,$97.00,1,1,1,,,,3,,,,,0,$30.00,$ -,127
2019,HPB,Gatsby,Mac,555-555-5555,,,,,1,,,1,,1,,1,,,,,0,,,2,$45.00,,,1,1,2,1,5,,,,,0,$50.00,$ -,95
