location,lastName,firstName,phone,saline_bags,iv_supplies,tape,gauze, bandages_2x2,bandages_4x4,bandages_6x9,benznidazole,aspirin,gluscose,albuterol,Fexinidazole,rifampicin,ASMQ,NECT
JVG,Savonarna,Juliette,555-555-5555,5,,,,1,,3,1,,3,,,,1,
HPG,Adams,Keegan,555-555-5555,,1,1,,1,1,1,2,,2,1,2,1,1,
JVB,Dominant,Alexander,555-555-5555,2,4,3,,,,5,,1,3,1,,,,1
JVB,Hunting,Owen,555-555-5555,,2,,,,,2,,,,1,,,1,1
JVB,Strong,Thaddeus,555-555-5555,,6,3,,,1,,,,,,,,1,
JVB,Tosser,Andre,555-555-5555,,,,,,,,,,,,,,,
JVB,Pointer,William,555-555-5555,2,,2,,,,7,4,,,,,,,
JVB,Johnson,Hari,555-555-5555,3,3,,,,3,,,,,,,,,
JVB,Caldin,Michael,555-555-5555,,1,,,,,,,1,,1,,,,1
JVB,Tatum,Tim,555-555-5555,,2,,,,,3,,,5,,,2,,
JVB,Ari,Dylan,555-555-5555,4,2,,,,,,,,2,5,2,,2,
JVB,Foster,Pace,555-555-5555,1,,,,1,1,1,1,,1,,,,,
JVB,Keeger,Daniel,555-555-5555,,2,,,,,2,2,2,,,,,,
JVB,Lyons,Julian,555-555-5555,1,,1,1,,,1,,,1,,1,1,,
JVB,Manny,Maximilian,555-555-5555,3,2,,1,,,,,,1,1,1,2,5,
JVB,McDonald,Cort,555-555-5555,3,3,2,2,,,,,,1,1,,,,3
JVB,Market,Maximilian,555-555-5555,1,3,,,1,,,,3,1,2,1,,2,2
JVB,Campion,Adam,555-555-5555,2,2,1,,1,,1,2,2,2,1,2,2,1,1
JVB,Belkechi,Luke,555-555-5555,,1,,1,,,1,1,,3,,,,1,1
JVB,Sully,Brendan,555-555-5555,,,,,,,,,,4,5,4,5,5,4
JVB,Song,Justin,555-555-5555,1,1,1,2,,3,1,1,1,,,,,,
JVB,Tsu,Lucas,555-555-5555,4,,,,1,,,,,,,,,,
JVB,Venturi,Josh,555-555-5555,,,,,,,,,,,,,,,
JVB,Vigo,Peter,555-555-5555,,1,,,,1,1,,1,,,,1,,
JVB,Simeone,Ashlyn,555-555-5555,,,1,,,,,,,,2,1,,1,3
HPB,Venturi,Colin,555-555-5555,1,,1,1,,,1,,1,,,,,,
HPB,Thoms,Luke,555-555-5555,6,12,3,1,5,2,9,4,5,12,4,4,4,4,5
HPB,Whittaker,Blake / Casey,555-555-5555,3,12,2,1,1,1,7,1,11,2,1,1,2,4,3
HPB,Benny,Henry,555-555-5555,1,2,1,1,,,3,,,5,1,,,,1
HPG,Jones,Chloe,555-555-5555,3,3,,,,3,1,,,,1,,1,2,
HPG,Darien,Sophie,555-555-5555,2,,,,1,,2,,,5,3,2,,,1
HPB,Typping,Will,555-555-5555,2,3,,1,,2,,1,,1,,,,,7
HPB,Talamadge,Christopher,555-555-5555,,1,,,,,,,1,,1,,1,2,6
HPB,Dessi,George,555-555-5555,1,,,,,,,,,3,,,,,
HPB,Holmes,Ian,555-555-5555,,4,,,,,1,1,,,,,,,1
HPB,Sayers,Ben,555-555-5555,4,1,,,,,,,,,,1,2,,
HPB,Swift,Ethan,555-555-5555,,1,,,,,1,,7,1,,2,1,,2
HPB,Escado,Gonzalo,555-555-5555,3,1,2,,,,,2,0,2,4,,,,
HPB,Moss,Eric,555-555-5555,,3,,,,,,1,2,3,,1,,,5
HPB,Gibbons,Max,555-555-5555,,2,,,,,,1,2,,,,,,2
HPB/HPG,Milken,Erick/Claudia,555-555-5555,3,,2,1,2,3,,,,,,,,,
HPB,Hung,Charles,555-555-5555,3,4,2,,2,,2,,,1,1,,1,,
HPB,Goody,Eric,555-555-5555,,,1,,,,1,,1,1,1,,1,1,5
HPB,Baker,Dukes,555-555-5555,,2,,2,,2,2,1,1,,2,,,,2
HPB,Aronstein,Michael,555-555-5555,1,1,1,,,,,,,4,1,1,3,1,2
HPB,Crenshaw,James,555-555-5555,1,1,,,,,1,2,,,1,,,1,2
HPB,Ivy,Ian,555-555-5555,1,,1,,,,1,,,,,,,,
HPB,Ford,Lachlan,555-555-5555,,,1,,,,,1,,,,,,1,1
HPB,McDougall,Joe,555-555-5555,1,5,1,,2,1,4,4,4,2,2,,2,2,3
HPB,Thomas,Dylan,555-555-5555,,,1,1,,,,,2,8,,,1,,
HPB,Trusome,George,555-555-5555,1,2,1,0,2,0,2,1,6,3,1,1,1,1,1
HPB,Smyth,Max,555-555-5555,2,1,,,,,2,,4,1,1,,2,1,1
HPB,Simoneau,Andrew,555-555-5555,8,,,,,,,,,,1,,,1,
HPB,Griffin,Matthew,555-555-5555,3,1,,,1,,2,,,,1,,,,
HPB,Herbert,Josh,555-555-5555,,,,,,,2,,,,,,,,
HPB,Burke,Nate,555-555-5555,2,,1,1,,,4,3,,,,,,,1
HPB,Ebrahimi,Kiran,555-555-5555,2,1,2,0,2,0,1,2,3,2,3,0,1,2,10
HPB,Loginsky,Daniel,555-555-5555,1,,,,,,1,,,,,,,,
HPB,Sprat,Jack,555-555-5555,2,4,,,,,1,2,1,5,,,1,1,1
HPB,Dmitri,Kali,555-555-5555,6,4,1,1,,3,1,1,11,,8,5,2,3,7
HPB,Tolkein,Quin,555-555-5555,,,,,,,,,,12,,,,,
JVB,Grouper,Myles,555-555-5555,,,,1,,,1,,,3,1,,1,,
HPB,Harlan,Jimmy,555-555-5555,,3,,1,,,,1,1,1,,1,2,,8
JVB,Lee,Andy,555-555-5555,,,,1,,,,,,,1,,,,
HPB,Linton,Kaden,555-555-5555,,1,1,,1,,,,1,,,,,,1
HPB,Gatsby,Mac,555-555-5555,,,,,1,,,,1,,,,,,
